1998,Actor -- Leading Role,Tom Hanks,Saving Private Ryan {'Captain Miller'},NO
1998,Actor -- Leading Role,Ian McKellen,Gods and Monsters {'James Whale'},NO
1998,Actor -- Leading Role,Nick Nolte,Affliction {'Wade Whitehouse'},NO
1998,Actor -- Leading Role,Edward Norton,American History X {'Derek'},NO
1998,Actor -- Supporting Role,James Coburn,Affliction {'Glen Whitehouse'},YES
1998,Actor -- Supporting Role,Robert Duvall,A Civil Action {'Jerome Facher'},NO
1998,Actor -- Supporting Role,Ed Harris,The Truman Show {'Christof'},NO
1998,Actor -- Supporting Role,Geoffrey Rush,Shakespeare in Love {'Philip Henslowe'},NO
1998,Actor -- Supporting Role,Billy Bob Thornton,A Simple Plan {'Jacob'},NO
1998,Actress -- Leading Role,Cate Blanchett,Elizabeth {'Queen Elizabeth I'},NO
1998,Actress -- Leading Role,Fernanda Montenegro,Central Station {'Dora'},NO
1998,Actress -- Leading Role,Gwyneth Paltrow,Shakespeare in Love {'Viola De Lesseps'},YES
1998,Actress -- Leading Role,Meryl Streep,One True Thing {'Kate Gulden'},NO
1998,Actress -- Leading Role,Emily Watson,Hilary and Jackie {'Jacqueline du Pr�'},NO
1998,Actress -- Supporting Role,Kathy Bates,Primary Colors {'Libby'},NO
1998,Actress -- Supporting Role,Brenda Blethyn,Little Voice {'Mari'},NO
1998,Actress -- Supporting Role,Judi Dench,Shakespeare in Love {'Queen Elizabeth I'},YES
1998,Actress -- Supporting Role,Rachel Griffiths,Hilary and Jackie {'Hilary du Pr�'},NO
1998,Actress -- Supporting Role,Lynn Redgrave,Gods and Monsters {'Hanna'},NO
1997,Actor -- Leading Role,Matt Damon,Good Will Hunting {'Will Hunting'},NO
1997,Actor -- Leading Role,Robert Duvall,The Apostle {'The Apostle E.F.'},NO
1997,Actor -- Leading Role,Peter Fonda,Ulee's Gold {'Ulee Jackson'},NO
1997,Actor -- Leading Role,Dustin Hoffman,Wag the Dog {'Stanley Motss'},NO
1997,Actor -- Leading Role,Jack Nicholson,As Good as It Gets {'Melvin Udall'},YES
1997,Actor -- Supporting Role,Robert Forster,Jackie Brown {'Max Cherry'},NO
1997,Actor -- Supporting Role,Anthony Hopkins,Amistad {'John Quincy Adams'},NO
1997,Actor -- Supporting Role,Greg Kinnear,As Good as It Gets {'Simon Bishop'},NO
1997,Actor -- Supporting Role,Burt Reynolds,Boogie Nights {'Jack Horner'},NO
1997,Actor -- Supporting Role,Robin Williams,Good Will Hunting {'Sean McGuire'},YES
1997,Actress -- Leading Role,Helena Bonham Carter,The Wings of the Dove {'Kate Croy'},NO
1997,Actress -- Leading Role,Julie Christie,Afterglow {'Phyllis Mann'},NO
1997,Actress -- Leading Role,Judi Dench,Mrs. Brown {'Queen Victoria'},NO
1997,Actress -- Leading Role,Helen Hunt,As Good as It Gets {'Carol Connelly'},YES
1997,Actress -- Leading Role,Kate Winslet,Titanic {'Rose DeWitt Bukater'},NO
1997,Actress -- Supporting Role,Kim Basinger,L.A. Confidential {'Lynn Bracken'},YES
1997,Actress -- Supporting Role,Joan Cusack,In & Out {'Emily Montgomery'},NO
1997,Actress -- Supporting Role,Minnie Driver,Good Will Hunting {'Skylar'},NO
1997,Actress -- Supporting Role,Julianne Moore,Boogie Nights {'Amber Waves'},NO
1997,Actress -- Supporting Role,Gloria Stuart,Titanic {'Old Rose'},NO
1996,Actor -- Leading Role,Tom Cruise,Jerry Maguire {'Jerry Maguire'},NO
1996,Actor -- Leading Role,Ralph Fiennes,The English Patient {'Almasy'},NO
1996,Actor -- Leading Role,Woody Harrelson,The People vs. Larry Flynt {'Larry Flynt'},NO
1996,Actor -- Leading Role,Geoffrey Rush,Shine {'David Helfgott'},YES
1996,Actor -- Leading Role,Billy Bob Thornton,Sling Blade {'Karl Childers'},NO
1996,Actor -- Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire {'Rod Tidwell'},YES
1996,Actor -- Supporting Role,William H. Macy,Fargo {'Jerry Lundegaard'},NO
1996,Actor -- Supporting Role,Armin Mueller-Stahl,Shine {'Peter Helfgott'},NO
1996,Actor -- Supporting Role,Edward Norton,Primal Fear {'Aaron Stampler'},NO
1996,Actor -- Supporting Role,James Woods,Ghosts of Mississippi {'Byron De La Beckwith'},NO
1996,Actress -- Leading Role,Brenda Blethyn,Secrets & Lies {'Cynthia'},NO
1996,Actress -- Leading Role,Diane Keaton,Marvin's Room {'Bessie'},NO
1996,Actress -- Leading Role,Frances McDormand,Fargo {'Marge Gunderson'},YES
1996,Actress -- Leading Role,Kristin Scott Thomas,The English Patient {'Katharine Clifton'},NO
1996,Actress -- Leading Role,Emily Watson,Breaking the Waves {'Bess'},NO
1996,Actress -- Supporting Role,Joan Allen,The Crucible {'Elizabeth Proctor'},NO
1996,Actress -- Supporting Role,Lauren Bacall,The Mirror Has Two Faces {'Hannah Morgan'},NO
1996,Actress -- Supporting Role,Juliette Binoche,The English Patient {'Hana'},YES
1996,Actress -- Supporting Role,Barbara Hershey,The Portrait of a Lady {'Madame Serena Merle'},NO
1996,Actress -- Supporting Role,Marianne Jean-Baptiste,Secrets & Lies {'Hortense'},NO
1995,Actor -- Leading Role,Nicolas Cage,Leaving Las Vegas {'Ben Sanderson'},YES
1995,Actor -- Leading Role,Richard Dreyfuss,Mr. Holland's Opus {'Glenn Holland'},NO
1995,Actor -- Leading Role,Anthony Hopkins,Nixon {'Richard Nixon'},NO
1995,Actor -- Leading Role,Sean Penn,Dead Man Walking {'Matthew Poncelet'},NO
1995,Actor -- Leading Role,Massimo Troisi,The Postman (Il Postino) {'Mario'},NO
1995,Actor -- Supporting Role,James Cromwell,Babe {'Farmer Hoggett'},NO
1995,Actor -- Supporting Role,Ed Harris,Apollo 13 {'Gene Kranz'},NO
1995,Actor -- Supporting Role,Brad Pitt,12 Monkeys {'Jeffrey Goines'},NO
1995,Actor -- Supporting Role,Tim Roth,Rob Roy {'Archibald Cunningham'},NO
1995,Actor -- Supporting Role,Kevin Spacey,The Usual Suspects {'Roger 'Verbal' Kint'},YES
1995,Actress -- Leading Role,Susan Sarandon,Dead Man Walking {'Sister Helen Prejean'},YES
1995,Actress -- Leading Role,Elisabeth Shue,Leaving Las Vegas {'Sera'},NO
1995,Actress -- Leading Role,Sharon Stone,Casino {'Ginger McKenna'},NO
1995,Actress -- Leading Role,Meryl Streep,The Bridges of Madison County {'Francesca Johnson'},NO
1995,Actress -- Leading Role,Emma Thompson,Sense and Sensibility {'Elinor Dashwood'},NO
1995,Actress -- Supporting Role,Joan Allen,Nixon {'Pat Nixon'},NO
1995,Actress -- Supporting Role,Kathleen Quinlan,Apollo 13 {'Marilyn Lovell'},NO
1995,Actress -- Supporting Role,Mira Sorvino,Mighty Aphrodite {'Linda'},YES
